"Gemiddelde bevolking; geslacht, leeftijd, burgerlijke staat en regio",,,
,Onderwerpen,Totale bevolking,Totale bevolking
,Onderwerpen,Mannen en Vrouwen,Mannen en Vrouwen
,Perioden,2014,2015
Leeftijd (op 31 december),Regio's,aantal,aantal
Totaal alle leeftijden,Aa en Hunze,25280,25223
Totaal alle leeftijden,Aalburg,12884,12980
Totaal alle leeftijden,Aalsmeer,30918,31188
Totaal alle leeftijden,Aalten,26958.5,26908
Totaal alle leeftijden,Achtkarspelen,27999.5,27995
Totaal alle leeftijden,Alblasserdam,19823,19900
Totaal alle leeftijden,Albrandswaard,25108.5,25066.5
Totaal alle leeftijden,Alkmaar,95057,107360.5
Totaal alle leeftijden,Almelo,72375,72358
Totaal alle leeftijden,Almere,196472.5,197538.5
Totaal alle leeftijden,Alphen aan den Rijn,107090.5,107678
Totaal alle leeftijden,Alphen-Chaam,9735,9838.5
Totaal alle leeftijden,Ameland,3584,3600.5
Totaal alle leeftijden,Amersfoort,151689,153041.5
Totaal alle leeftijden,Amstelveen,86088.5,87882
Totaal alle leeftijden,Amsterdam,816344.5,827688
Totaal alle leeftijden,Apeldoorn,157822,158562
Totaal alle leeftijden,Appingedam,12037.5,12006
Totaal alle leeftijden,Arnhem,151558,153055.5
Totaal alle leeftijden,Assen,67177.5,67113
Totaal alle leeftijden,Asten,16499.5,16569.5
Totaal alle leeftijden,Baarle-Nassau,6605.5,6605
Totaal alle leeftijden,Baarn,24360,24463.5
Totaal alle leeftijden,Barendrecht,47449,47691
Totaal alle leeftijden,Barneveld,54427.5,55072
Totaal alle leeftijden,Bedum,10467.5,10437
Totaal alle leeftijden,Beek (L.),16242.5,16141
Totaal alle leeftijden,Beemster,8906.5,8930.5
Totaal alle leeftijden,Beesel,13564,13449.5
Totaal alle leeftijden,Bellingwedde,9037,9062.5
Totaal alle leeftijden,Bergeijk,18232.5,18231
Totaal alle leeftijden,Bergen (L.),13194.5,13121
Totaal alle leeftijden,Bergen (NH.),30040.5,29974
Totaal alle leeftijden,Bergen op Zoom,66369.5,66278.5
Totaal alle leeftijden,Berkelland,44515,44400.5
Totaal alle leeftijden,Bernheze,29709.5,29804.5
Totaal alle leeftijden,Best,28677,28856.5
Totaal alle leeftijden,Beuningen,25285,25285.5
Totaal alle leeftijden,Beverwijk,40137.5,40250
Totaal alle leeftijden,het Bildt,10609,10558.5
Totaal alle leeftijden,De Bilt,42102.5,42272
Totaal alle leeftijden,Binnenmaas,28683,28713.5
Totaal alle leeftijden,Bladel,19851.5,19917.5
Totaal alle leeftijden,Blaricum,9203,9467
Totaal alle leeftijden,Bloemendaal,22157.5,22276
Totaal alle leeftijden,Bodegraven-Reeuwijk,33059,33329.5
Totaal alle leeftijden,Boekel,10104,10186.5
Totaal alle leeftijden,Ten Boer,7465.5,7402
Totaal alle leeftijden,Borger-Odoorn,25564.5,25436.5
Totaal alle leeftijden,Borne,21938,22167.5
Totaal alle leeftijden,Borsele,22573.5,22590
Totaal alle leeftijden,Boxmeer,28244.5,28403.5
Totaal alle leeftijden,Boxtel,30328.5,30371.5
Totaal alle leeftijden,Breda,180280,181274
Totaal alle leeftijden,Brielle,16389.5,16553.5
Totaal alle leeftijden,Bronckhorst,36829,36618
Totaal alle leeftijden,Brummen,21080,20960.5
Totaal alle leeftijden,Brunssum,28807,28552
Totaal alle leeftijden,Bunnik,14644,14717.5
Totaal alle leeftijden,Bunschoten,20569.5,20735
Totaal alle leeftijden,Buren,26068,26159.5
Totaal alle leeftijden,Bussum,32750.5,32983.5
Totaal alle leeftijden,Capelle aan den IJssel,66328,66482
Totaal alle leeftijden,Castricum,34324.5,34482.5
Totaal alle leeftijden,Coevorden,35652,35458
Totaal alle leeftijden,Cranendonck,20443,20601
Totaal alle leeftijden,Cromstrijen,12761,12769.5
Totaal alle leeftijden,Cuijk,24716,24628.5
Totaal alle leeftijden,Culemborg,27575,27602
Totaal alle leeftijden,Dalfsen,27675.5,27796.5
Totaal alle leeftijden,Dantumadiel,19044.5,19037
Totaal alle leeftijden,Delft,100538,101032
Totaal alle leeftijden,Delfzijl,25553.5,25238.5
Totaal alle leeftijden,Deurne,31712,31821.5
Totaal alle leeftijden,Deventer,98431,98704.5
Totaal alle leeftijden,Diemen,26298,26753
Totaal alle leeftijden,Dinkelland,25937.5,26024
Totaal alle leeftijden,Doesburg,11396,11345.5
Totaal alle leeftijden,Doetinchem,56414,56655.5
Totaal alle leeftijden,Dongen,25376.5,25404
Totaal alle leeftijden,Dongeradeel,24071.5,23957.5
Totaal alle leeftijden,Dordrecht,118795,118850
Totaal alle leeftijden,Drechterland,19272,19347
Totaal alle leeftijden,Drimmelen,26699,26759
Totaal alle leeftijden,Dronten,40388,40477.5
Totaal alle leeftijden,Druten,18252,18350.5
Totaal alle leeftijden,Duiven,25578.5,25490.5
Totaal alle leeftijden,Echt-Susteren,31961.5,31945
Totaal alle leeftijden,Edam-Volendam,29003.5,29155.5
Totaal alle leeftijden,Ede,111115.5,112001
Totaal alle leeftijden,Eemnes,8793,8842
Totaal alle leeftijden,Eemsmond,15849,15792.5
Totaal alle leeftijden,Eersel,18265,18449
Totaal alle leeftijden,Eijsden-Margraten,24973,25045
Totaal alle leeftijden,Eindhoven,222064.5,223982
Totaal alle leeftijden,Elburg,22744,22886
Totaal alle leeftijden,Emmen,107913.5,107679.5
Totaal alle leeftijden,Enkhuizen,18360.5,18400
Totaal alle leeftijden,Enschede,158569.5,158452
Totaal alle leeftijden,Epe,32282.5,32248
Totaal alle leeftijden,Ermelo,26117.5,26348.5
Totaal alle leeftijden,Etten-Leur,42430,42667.5
Totaal alle leeftijden,Ferwerderadiel,8764,8719.5
Totaal alle leeftijden,Franekeradeel,20386.5,20296.5
Totaal alle leeftijden,De Friese Meren,51313.5,51239
